yourlist:M20170213A7434721E10EE6586998A056CCD0537E72DE89T	Entry
AAY47095.1	Q4V0S8
AAY47096.1	A0A0H2X251
AAY47097.1	Q4V0S6
AAY47098.1	A0A0H2X298
AAY47099.1	A0A0H2X3K5
AAY47100.1	A0A0H2X2F8
AAY47101.1	A0A0H2X3P7
AAY47102.1	A0A0H2X255
AAY47103.1	A0A0H2X2A3
AAY47104.1	A0A0H2X3L0
AAY47105.1	A0A0H2X2G1
AAY47106.1	Q4V0R7
AAY47107.1	A0A0H2X3Q1
AAY47108.1	A0A0H2X260
AAY47109.1	A0A0H2X2A6
AAY47110.1	A0A0H2X3L5
AAY47111.1	A0A0H2X2G4
AAY47112.1	A0A0H2X3Q5
AAY47113.1	A0A0H2X263
AAY47114.1	A0A0H2X2B0
AAY47115.1	A0A0H2X3M0
AAY47116.1	A0A0H2X2G8
AAY47117.1	A0A0H2X3R0
AAY47118.1	A0A0H2X267
AAY47119.1	A0A0H2X2B4
AAY47120.1	A0A0H2X3M5
AAY47121.1	A0A0H2X2H4
AAY47122.1	A0A0H2X3R3
AAY47123.1	A0A0H2X270
AAY47124.1	A0A0H2X2B8
AAY47125.1	A0A0H2X3N0
AAY47126.1	A0A0H2X2H8
AAY47127.1	A0A0H2X3R7
AAY47128.1	A0A0H2X274
AAY47129.1	A0A0H2X2C1
AAY47130.1	A0A0H2X3N5
AAY47131.1	A0A0H2X2I4
AAY47132.1	A0A0H2X3S0
AAY47133.1	A0A0H2X277
AAY47134.1	A0A0H2X2C5
AAY47135.1	A0A0H2X3P0
AAY47136.1	A0A0H2X2I9
AAY47137.1	A0A0H2X3S5
AAY47138.1	A0A0H2X281
AAY47139.1	A0A0H2X2C7
AAY47140.1	A0A0H2X3P5
AAY47141.1	A0A0H2X2J6
AAY47142.1	A0A0H2X3S9
AAY47143.1	A0A0H2X284
AAY47144.1	A0A0H2X2D1
AAY47145.1	A0A0H2X3Q2
AAY47146.1	A0A0H2X2K0
AAY47147.1	A0A0H2X3T3
AAY47148.1	A0A0H2X286
AAY47149.1	A0A0H2X2D4
AAY47150.1	A0A0H2X3Q9
AAY47151.1	A0A0H2X2K4
AAY47152.1	A0A0H2X3T8
AAY47153.1	A0A0H2X290
AAY47154.1	A0A0H2X2D8
AAY47155.1	A0A0H2X3R4
AAY47156.1	A0A0H2X2K9
AAY47157.1	A0A0H2X3U1
AAY47158.1	A0A0H2X294
AAY47159.1	A0A0H2X2E0
AAY47160.1	A0A0H2X3R8
AAY47161.1	A0A0H2X2L3
AAY47162.1	A0A0H2X3U5
AAY47163.1	A0A0H2X297
AAY47164.1	A0A0H2X2E4
AAY47165.1	A0A0H2X3S2
AAY47166.1	A0A0H2X2L8
AAY47167.1	A0A0H2X3U8
AAY47168.1	A0A0H2X2A1
AAY47169.1	A0A0H2X2E7
AAY47170.1	A0A0H2X3S6
AAY47171.1	A0A0H2X2M2
AAY47172.1	A0A0H2X3V0
AAY47173.1	A0A0H2X2A5
AAY47174.1	A0A0H2X2F0
AAY47175.1	A0A0H2X3T1
AAY47176.1	A0A0H2X2M7
AAY47177.1	A0A0H2X3V4
AAY47178.1	A0A0H2X2A9
AAY47179.1	A0A0H2X2F3
AAY47180.1	A0A0H2X3T4
AAY47181.1	A0A0H2X2N1
AAY47182.1	A0A0H2X3V6
AAY47183.1	A0A0H2X2B3
AAY47184.1	A0A0H2X2F6
AAY47185.1	A0A0H2X3T9
AAY47186.1	A0A0H2X2N7
AAY47187.1	A0A0H2X3V8
AAY47188.1	A0A0H2X2B6
AAY47189.1	Q4V0I4
AAY47190.1	A0A0H2X2F9
AAY47191.1	A0A0H2X3U4
AAY47192.1	A0A0H2X2P4
AAY47193.1	A0A0H2X3W1
AAY47194.1	A0A0H2X2C0
AAY47195.1	A0A0H2X2G0
AAY47196.1	A0A0H2X3V1
AAY47197.1	A0A0H2X2P9
AAY47198.1	A0A0H2X3W3
AAY47199.1	A0A0H2X2C3
AAY47200.1	A0A0H2X2G3
AAY47201.1	Q4V0H2
AAY47202.1	A0A0H2X3V7
AAY47203.1	A0A0H2X2Q7
AAY47204.1	A0A0H2X3W6
AAY47205.1	A0A0H2X2C6
AAY47206.1	A0A0H2X2G7
AAY47207.1	A0A0H2X3W4
AAY47208.1	A0A0H2X2R3
AAY47209.1	A0A0H2X3W8
AAY47210.1	Q4V0G3
AAY47211.1	A0A0H2X2D0
AAY47212.1	A0A0H2X2H1
AAY47213.1	A0A0H2X3X1
AAY47214.1	A0A0H2X2R8
AAY47215.1	A0A0H2X3X0
AAY47216.1	A0A0H2X2D3
AAY47217.1	A0A0H2X2H6
AAY47218.1	A0A0H2X3X7
AAY47219.1	A0A0H2X2S5
AAY47220.1	A0A0H2X3X4
AAY47221.1	A0A0H2X2D6
AAY47222.1	A0A0H2X2I1
AAY47223.1	A0A0H2X3Y5
AAY47225.1	A0A0H2X3X6
AAY47227.1	A0A0H2X2I6
AAY47228.1	A0A0H2X3Y9
AAY47229.1	A0A0H2X2T5
AAY47230.1	A0A0H2X3Y0
AAY47231.1	Q4V0E2
AAY47232.1	A0A0H2X2E3
AAY47233.1	A0A0H2X2J3
AAY47234.1	A0A0H2X3Z5
AAY47235.1	A0A0H2X2U2
AAY47236.1	A0A0H2X3Y2
AAY47237.1	A0A0H2X2E6
AAY47238.1	A0A0H2X2M1
AAY47239.1	A0A0H2X419
AAY47240.1	A0A0H2X2X4
AAY47241.1	A0A0H2X401
AAY47242.1	A0A0H2X2G6
AAY47243.1	A0A0H2X2M5
AAY47244.1	A0A0H2X423
AAY47245.1	A0A0H2X2Y0
AAY47246.1	A0A0H2X404
AAY47247.1	Q4V0C6
AAY47248.1	A0A0H2X2H0
AAY47249.1	A0A0H2X2N0
AAY47250.1	A0A0H2X427
AAY47251.1	A0A0H2X2Y5
AAY47252.1	A0A0H2X408
AAY47253.1	A0A0H2X2H5
AAY47254.1	A0A0H2X2N5
AAY47255.1	A0A0H2X431
AAY47256.1	A0A0H2X2Y9
AAY47257.1	A0A0H2X410
AAY47258.1	A0A0H2X2H9
AAY47259.1	A0A0H2X2P1
AAY47260.1	A0A0H2X436
AAY47261.1	A0A0H2X2Z4
AAY47262.1	A0A0H2X414
AAY47263.1	A0A0H2X2I3
AAY47264.1	A0A0H2X2P8
AAY47265.1	A0A0H2X442
AAY47266.1	A0A0H2X2Z7
AAY47267.1	A0A0H2X418
AAY47268.1	A0A0H2X2I8
AAY47269.1	A0A0H2X2Q2
AAY47270.1	A0A0H2X447
AAY47271.1	A0A0H2X302
AAY47272.1	A0A0H2X422
AAY47273.1	A0A0H2X2J1
AAY47274.1	A0A0H2X2Q8
AAY47275.1	A0A0H2X454
AAY47276.1	A0A0H2X305
AAY47277.1	A0A0H2X426
AAY47278.1	A0A0H2X2J5
AAY47279.1	A0A0H2X2R4
AAY47280.1	Q4V093
AAY47281.1	A0A0H2X461
AAY47282.1	A0A0H2X308
AAY47283.1	A0A0H2X430
AAY47284.1	A0A0H2X2J9
AAY47285.1	A0A0H2X2R9
AAY47286.1	A0A0H2X466
AAY47287.1	A0A0H2X315
AAY47288.1	A0A0H2X434
AAY47289.1	A0A0H2X2K2
AAY47290.1	A0A0H2X2S3
AAY47291.1	A0A0H2X472
AAY47292.1	A0A0H2X322
AAY47293.1	A0A0H2X440
AAY47294.1	A0A0H2X2K5
AAY47295.1	A0A0H2X2S7
AAY47296.1	A0A0H2X476
AAY47297.1	A0A0H2X327
AAY47298.1	A0A0H2X445
AAY47299.1	A0A0H2X2K7
AAY47300.1	Q4V073
AAY47301.1	Q4V072
AAY47302.1	A0A0H2X2T2
AAY47303.1	A0A0H2X483
AAY47304.1	A0A0H2X335
AAY47305.1	A0A0H2X452
AAY47306.1	A0A0H2X2L1
AAY47307.1	A0A0H2X2T6
AAY47308.1	A0A0H2X489
AAY47309.1	A0A0H2X340
AAY47310.1	A0A0H2X458
AAY47311.1	A0A0H2X2L5
AAY47312.1	A0A0H2X2U0
AAY47313.1	A0A0H2X495
AAY47314.1	A0A0H2X344
AAY47315.1	A0A0H2X464
AAY47316.1	A0A0H2X2L7
AAY47317.1	Q4V056
AAY47318.1	A0A0H2X2U5
AAY47319.1	A0A0H2X4B0
AAY47320.1	A0A0H2X348
AAY47321.1	Q4V052
AAY47322.1	A0A0H2X471
AAY47323.1	A0A0H2X2M0
AAY47324.1	A0A0H2X2U9
AAY47325.1	A0A0H2X4B4
AAY47326.1	A0A0H2X352
AAY47327.1	A0A0H2X478
AAY47328.1	A0A0H2X2M3
AAY47329.1	A0A0H2X2V3
AAY47330.1	A0A0H2X4B8
AAY47331.1	A0A0H2X356
AAY47332.1	A0A0H2X482
AAY47333.1	A0A0H2X2M6
AAY47334.1	Q4V039
AAY47335.1	Q4V038
AAY47336.1	A0A0H2X359
AAY47337.1	A0A0H2X487
AAY47338.1	A0A0H2X2M8
AAY47339.1	A0A0H2X2W1
AAY47340.1	A0A0H2X4C6
AAY47341.1	A0A0H2X364
AAY47342.1	A0A0H2X494
AAY47343.1	A0A0H2X2N2
AAY47344.1	A0A0H2X2W4
AAY47345.1	A0A0H2X4D0
AAY47346.1	A0A0H2X369
AAY47347.1	A0A0H2X4A2
AAY47348.1	A0A0H2X2N4
AAY47349.1	A0A0H2X2W8
AAY47350.1	A0A0H2X4D5
AAY47351.1	A0A0H2X373
AAY47352.1	A0A0H2X4A6
AAY47353.1	A0A0H2X2N8
AAY47354.1	A0A0H2X2X1
AAY47355.1	A0A0H2X4E0
AAY47356.1	A0A0H2X376
AAY47357.1	A0A0H2X4A9
AAY47358.1	A0A0H2X2P2
AAY47359.1	A0A0H2X2X5
AAY47360.1	A0A0H2X4E4
AAY47361.1	A0A0H2X381
AAY47362.1	A0A0H2X4B3
AAY47363.1	A0A0H2X2P5
AAY47364.1	A0A0H2X2X9
AAY47365.1	A0A0H2X4E8
AAY47366.1	A0A0H2X386
AAY47367.1	A0A0H2X4B7
AAY47368.1	A0A0H2X2Q0
AAY47369.1	A0A0H2X2Y4
AAY47370.1	A0A0H2X4F3
AAY47371.1	A0A0H2X391
AAY47372.1	A0A0H2X4C1
AAY47373.1	A0A0H2X2Q3
AAY47374.1	A0A0H2X2Z0
AAY47375.1	A0A0H2X4F8
AAY47376.1	A0A0H2X394
AAY47377.1	A0A0H2X4C5
AAY47378.1	A0A0H2X2Q6
AAY47379.1	A0A0H2X311
AAY47380.1	A0A0H2X4G3
AAY47381.1	A0A0H2X398
AAY47382.1	A0A0H2X4C8
AAY47383.1	A0A0H2X2R1
AAY47384.1	A0A0H2X321
AAY47385.1	A0A0H2X4G9
AAY47386.1	A0A0H2X3A2
AAY47387.1	A0A0H2X4D1
AAY47388.1	A0A0H2X2R5
AAY47389.1	A0A0H2X326
AAY47390.1	A0A0H2X4H3
AAY47391.1	A0A0H2X3A6
AAY47392.1	A0A0H2X4D7
