ID,geneName,ORF,fullName,uniprot,GO,EC,KO,organism
1,dnaA,XC_0001,Chromosomal replication initiator protein DnaA,Q4V0S8,GO:0005737; GO:0005524; GO:0003688; GO:0006270; GO:0006275,,K02313,Xanthomonas campestris pv. campestris (strain 8004)
2,XC_0002,XC_0002,DNA polymerase III subunit beta,A0A0H2X251,GO:0005737; GO:0009360; GO:0008408; GO:0003677; GO:0003887; GO:0006260,2.7.7.7,K02338,Xanthomonas campestris pv. campestris (strain 8004)
3,recF,XC_0003,DNA replication and repair protein RecF,Q4V0S6,GO:0005737; GO:0005524; GO:0003697; GO:0006281; GO:0006260; GO:0009432,,K03629,Xanthomonas campestris pv. campestris (strain 8004)
4,gyrB,XC_0004,DNA gyrase subunit B,A0A0H2X298,GO:0005694; GO:0005737; GO:0005524; GO:0003677; GO:0003918; GO:0000287; GO:0006265; GO:0006261,5.99.1.3,K02470,Xanthomonas campestris pv. campestris (strain 8004)
5,XC_0005,XC_0005,Uncharacterized protein,A0A0H2X3K5,GO:0016021,,K07052,Xanthomonas campestris pv. campestris (strain 8004)
6,XC_0006,XC_0006,Uncharacterized protein,A0A0H2X2F8,GO:0004222,,,Xanthomonas campestris pv. campestris (strain 8004)
7,XC_0007,XC_0007,Uncharacterized protein,A0A0H2X3P7,,,,Xanthomonas campestris pv. campestris (strain 8004)
8,XC_0008,XC_0008,TonB protein,A0A0H2X255,GO:0016021; GO:0006810,,K03832,Xanthomonas campestris pv. campestris (strain 8004)
9,XC_0009,XC_0009,Biopolymer transport ExbB protein,A0A0H2X2A3,GO:0016021; GO:0008565,,K03561,Xanthomonas campestris pv. campestris (strain 8004)
10,XC_0010,XC_0010,Biopolymer transport ExbD1 protein,A0A0H2X3L0,GO:0016021; GO:0005886; GO:0005215; GO:0015031,,K03559,Xanthomonas campestris pv. campestris (strain 8004)
11,XC_0011,XC_0011,Biopolymer transport ExbD2 protein,A0A0H2X2G1,GO:0016021; GO:0005886; GO:0005215; GO:0015031,,K03559,Xanthomonas campestris pv. campestris (strain 8004)
12,pdxJ,XC_0012,Pyridoxine 5'-phosphate synthase,Q4V0R7,GO:0005737; GO:0033856; GO:0008615,2.6.99.2,K03474,Xanthomonas campestris pv. campestris (strain 8004)
13,XC_0013,XC_0013,Uncharacterized protein,A0A0H2X3Q1,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
14,XC_0014,XC_0014,Cardiolipin synthetase,A0A0H2X260,GO:0016021; GO:0005886; GO:0008808; GO:0032049,,K06131,Xanthomonas campestris pv. campestris (strain 8004)
15,XC_0015,XC_0015,Uncharacterized protein,A0A0H2X2A6,GO:0003824; GO:0051536,,,Xanthomonas campestris pv. campestris (strain 8004)
16,XC_0016,XC_0016,Uncharacterized protein,A0A0H2X3L5,GO:0016491,,,Xanthomonas campestris pv. campestris (strain 8004)
17,XC_0017,XC_0017,Outer membrane protein,A0A0H2X2G4,,,K06076,Xanthomonas campestris pv. campestris (strain 8004)
18,XC_0018,XC_0018,Uncharacterized protein,A0A0H2X3Q5,GO:0016021; GO:0004252,,,Xanthomonas campestris pv. campestris (strain 8004)
19,XC_0019,XC_0019,Uncharacterized protein,A0A0H2X263,,,,Xanthomonas campestris pv. campestris (strain 8004)
20,XC_0020,XC_0020,D-3-phosphoglycerate dehydrogenase,A0A0H2X2B0,GO:0051287; GO:0016616,,K00058,Xanthomonas campestris pv. campestris (strain 8004)
21,XC_0021,XC_0021,Carboxyl-terminal protease,A0A0H2X3M0,GO:0008236,,K03797,Xanthomonas campestris pv. campestris (strain 8004)
22,XC_0022,XC_0022,Uncharacterized protein,A0A0H2X2G8,,,,Xanthomonas campestris pv. campestris (strain 8004)
23,XC_0023,XC_0023,Uncharacterized protein,A0A0H2X3R0,,,,Xanthomonas campestris pv. campestris (strain 8004)
24,XC_0024,XC_0024,Uncharacterized protein,A0A0H2X267,,,,Xanthomonas campestris pv. campestris (strain 8004)
25,XC_0025,XC_0025,Uncharacterized protein,A0A0H2X2B4,,,,Xanthomonas campestris pv. campestris (strain 8004)
26,XC_0026,XC_0026,Cellulase,A0A0H2X3M5,GO:0004553; GO:0005975,,K01179,Xanthomonas campestris pv. campestris (strain 8004)
27,XC_0027,XC_0027,Cellulase,A0A0H2X2H4,GO:0004553; GO:0005975,,K01179,Xanthomonas campestris pv. campestris (strain 8004)
