ID,NodeType,color
[1],Virtual,
[1]1,Virtual,
[1]1.1,Virtual,
[1]1.1.1,Virtual,
[1]1.1.1.1,Virtual,
[1]1.1.1.1.1,Virtual,
[1]1.1.1.1.1.1,Virtual,
[1]1.1.1.1.1.1.1,Virtual,
[1]1.1.1.1.1.1.1.1,Virtual,
[1]1.1.1.1.1.1.1.1.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.1,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.1.1,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.1.1.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.1.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.1.2.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.2.1,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.2.1.2.2.2.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.2.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.2.2.2.2.2.2,Virtual,
[1]1.1.1.1.1.1.1.1.2.1.2.2.2.2.2.2.1,Virtual,
[1]1.1.1.1.1.1.2,Virtual,
[1]1.1.1.1.1.1.2.1,Virtual,
[1]1.1.1.1.1.1.2.1.1,Virtual,
[1]1.1.1.1.1.1.2.2,Virtual,
[1]1.1.1.1.1.1.2.2.1,Virtual,
[1]1.1.1.1.1.1.2.2.1.1,Virtual,
[1]1.1.1.1.1.1.2.2.2,Virtual,
[1]1.1.1.1.1.1.2.2.2.1,Virtual,
[1]1.1.1.1.1.1.2.2.2.1.1,Virtual,
[1]1.1.1.1.1.1.2.2.2.1.2.2,Virtual,
[1]1.1.1.1.1.1.2.2.2.2.2,Virtual,
[1]1.1.1.1.1.1.2.2.2.2.2.2,Virtual,
[1]1.1.1.1.1.2,Virtual,
[1]1.1.1.1.1.2.1.2,Virtual,
[1]1.1.1.1.1.2.1.2.2.2,Virtual,
[1]1.1.1.1.1.2.2,Virtual,
[1]1.1.1.1.1.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.1.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.1.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.1.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.1.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.1.2.2.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.1.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.1.2.1.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.1.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.1.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.1.2.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.1.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.1.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.2.1.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.2.1.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.2.2,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.2.2.1,Virtual,
[1]1.1.1.1.1.2.2.2.1.2.2.2.2.2.2.2,Virtual,
[1]1.1.1.1.2,Virtual,
[1]1.1.1.1.2.1,Virtual,
[1]1.1.1.1.2.1.1,Virtual,
[1]1.1.1.1.2.1.1.1,Virtual,
[1]1.1.1.1.2.1.1.1.1,Virtual,
[1]1.1.1.1.2.1.1.1.1.2,Virtual,
[1]1.1.1.1.2.1.1.1.1.2.1,Virtual,
[1]1.1.1.1.2.1.1.1.1.2.1.2.2,Virtual,
