Xanthomonas campestris pv. campestris str. 8004, complete genome. - 1..5148708
4273 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
42..1370	+	442	66571685	-	XC_0001	-	-	chromosomal replication initiator
1646..2746	+	366	66571686	-	XC_0002	-	-	DNA polymerase III beta chain
3633..4739	+	368	66571687	-	XC_0003	-	-	DNA replication and repair RecF protein
4853..7297	+	814	66571688	-	XC_0004	-	-	DNA gyrase subunit B
7359..8201	+	280	66571689	-	XC_0005	-	-	conserved hypothetical protein
8264..9070	+	268	66571690	-	XC_0006	-	-	conserved hypothetical protein
9209..10405	+	398	66571691	-	XC_0007	-	-	conserved hypothetical protein
10559..11230	+	223	66571692	-	XC_0008	-	-	TonB protein
11315..12076	+	253	66571693	-	XC_0009	-	-	biopolymer transport ExbB protein
12123..12545	+	140	66571694	-	XC_0010	-	-	biopolymer transport ExbD1 protein
12549..12959	+	136	66571695	-	XC_0011	-	-	biopolymer transport ExbD2 protein
14113..14883	-	256	66571696	-	XC_0012	-	-	pyridoxal phosphate biosynthetic protein
14891..15160	-	89	66571697	-	XC_0013	-	-	conserved hypothetical protein
15235..16695	-	486	66571698	-	XC_0014	-	-	cardiolipin synthetase
16981..18075	+	364	66571699	-	XC_0015	-	-	conserved hypothetical protein
18170..18940	-	256	66571700	-	XC_0016	-	-	conserved hypothetical protein
19513..20853	-	446	66571701	-	XC_0017	-	-	outer membrane protein
21073..21765	+	230	66571702	-	XC_0018	-	-	conserved hypothetical protein
21794..22114	+	106	66571703	-	XC_0019	-	-	conserved hypothetical protein
22114..23100	+	328	66571704	-	XC_0020	-	-	D-3-phosphoglycerate dehydrogenase
24035..25615	-	526	66571705	-	XC_0021	-	-	carboxyl-terminal protease
25780..26997	-	405	66571706	-	XC_0022	-	-	conserved hypothetical protein
27168..27824	+	218	66571707	-	XC_0023	-	-	conserved hypothetical protein
27883..29667	+	594	66571708	-	XC_0024	-	-	conserved hypothetical protein
30028..30459	-	143	66571709	-	XC_0025	-	-	conserved hypothetical protein
30892..31941	-	349	66571710	-	XC_0026	-	-	cellulase
32350..33402	-	350	66571711	-	XC_0027	-	-	cellulase
34033..35097	-	354	66571712	-	XC_0028	-	-	cellulase
35411..36469	+	352	66571713	-	XC_0029	-	-	alcohol dehydrogenase
37450..37956	-	168	66571714	-	XC_0030	-	-	conserved hypothetical protein
38001..39482	-	493	66571715	-	XC_0031	-	-	glutamate synthase, beta subunit
39604..44076	-	1490	66571716	-	XC_0032	-	-	glutamate synthase, alpha subunit
44279..44701	-	140	66571717	-	XC_0033	-	-	conserved hypothetical protein
44887..46071	+	394	66571718	-	XC_0034	-	-	conserved hypothetical protein
46187..46765	-	192	66571719	-	XC_0035	-	-	phospholipid N-methyltransferase
47690..48160	-	156	66571720	-	XC_0036	-	-	conserved hypothetical protein
48631..49464	+	277	66571721	-	XC_0037	-	-	pirin
50747..51649	-	300	66571722	-	XC_0040	-	-	transcriptional regulator lysR family
51940..52245	-	101	66571723	-	XC_0041	-	-	conserved hypothetical protein
