fromNode,toNode,Confidence,InteractionType,color
XC_0001 65..73,XC_0651 177..185,9,1,#80C8B4
XC_0001 65..73,XC_0663 131..139,9,1,#80C8B4
XC_0001 65..73,XC_0766 166..174,9,1,#80C8B4
XC_0001 65..73,XC_4336 171..179,9,1,#80C8B4
XC_0001 65..73,XC_1932 73..81,9,1,#80C8B4
XC_0001 65..73,XC_3131 110..118,9,1,#80C8B4
XC_0001 65..73,XC_3386 31..39,9,1,#80C8B4
XC_0001 65..73,XC_4264 192..200,9,1,#80C8B4
XC_0001 65..73,XC_4332 57..65,9,1,#80C8B4
XC_0014 83..91,XC_0734 69..77,9,1,#80C8B4
XC_0014 83..91,XC_0813 79..87,9,1,#80C8B4
XC_0014 83..91,XC_0931 235..243,9,1,#80C8B4
XC_0014 83..91,XC_1652 78..86,9,1,#80C8B4
XC_0014 83..91,XC_1710 22..30,9,1,#80C8B4
XC_0014 83..91,XC_2531 171..179,9,1,#80C8B4
XC_0014 83..91,XC_2996 124..132,9,1,#80C8B4
XC_0014 83..91,XC_3328 143..151,9,1,#80C8B4
XC_0014 83..91,XC_3502 76..84,9,1,#80C8B4
XC_0014 83..91,XC_3590 110..118,9,1,#80C8B4
XC_0014 83..91,XC_3866 105..113,9,1,#80C8B4
XC_0030 33..41,XC_0114 144..152,9,1,#80C8B4
XC_0030 33..41,XC_0486 97..105,9,1,#80C8B4
XC_0030 33..41,XC_0942 1..9,9,1,#80C8B4
XC_0030 33..41,XC_1097 126..134,9,1,#80C8B4
XC_0030 33..41,XC_1669 70..78,9,1,#80C8B4
XC_0030 33..41,XC_1688 115..123,9,1,#80C8B4
XC_0030 33..41,XC_2883 66..74,9,1,#80C8B4
XC_0030 33..41,XC_3700 54..62,9,1,#80C8B4
XC_0030 33..41,XC_3841 106..114,9,1,#80C8B4
XC_0030 33..41,XC_4264 52..60,9,1,#80C8B4
XC_0030 33..41,XC_4314 3..11,9,1,#80C8B4
XC_0033 180..188,XC_0417 182..190,9,1,#80C8B4
XC_0033 180..188,XC_0641 93..101,9,1,#80C8B4
XC_0033 180..188,XC_1098 118..126,9,1,#80C8B4
XC_0033 180..188,XC_1157 142..150,9,1,#80C8B4
XC_0033 180..188,XC_1294 241..249,9,1,#80C8B4
XC_0033 180..188,XC_1295 81..89,9,1,#80C8B4
XC_0033 180..188,XC_2383 100..108,9,1,#80C8B4
XC_0033 180..188,XC_2682 48..56,9,1,#80C8B4
XC_0033 180..188,XC_2813 22..30,9,1,#80C8B4
XC_0033 180..188,XC_2886 91..99,9,1,#80C8B4
XC_0033 180..188,XC_3042 214..222,9,1,#80C8B4
XC_0033 180..188,XC_3044 166..174,9,1,#80C8B4
XC_0033 180..188,XC_3048 65..73,9,1,#80C8B4
XC_0033 180..188,XC_3637 160..168,9,1,#80C8B4
XC_0033 180..188,XC_4154 74..82,9,1,#80C8B4
XC_0033 180..188,XC_4306 64..72,9,1,#80C8B4
XC_0114 144..152,XC_0486 97..105,9,1,#80C8B4
XC_0114 144..152,XC_0942 1..9,9,1,#80C8B4
XC_0114 144..152,XC_1097 126..134,9,1,#80C8B4
XC_0114 144..152,XC_1669 70..78,9,1,#80C8B4
XC_0114 144..152,XC_1688 115..123,9,1,#80C8B4
XC_0114 144..152,XC_2883 66..74,9,1,#80C8B4
XC_0114 144..152,XC_3700 54..62,9,1,#80C8B4
XC_0114 144..152,XC_3841 106..114,9,1,#80C8B4
XC_0114 144..152,XC_4264 52..60,9,1,#80C8B4
XC_0114 144..152,XC_4314 3..11,9,1,#80C8B4
XC_0189 187..199,XC_0378 240..250,9,1,#80C8B4
XC_0189 187..199,XC_2302 15..27,9,1|15,#78A2B8
XC_0218 83..91,XC_0557 1..9,9,1,#80C8B4
XC_0218 83..91,XC_1568 177..185,9,1,#80C8B4
XC_0218 83..91,XC_2297 201..209,9,1,#80C8B4
XC_0218 83..91,XC_2333 150..158,9,1,#80C8B4
XC_0218 83..91,XC_2875 87..95,9,1,#80C8B4
XC_0218 83..91,XC_2892 219..227,9,1,#80C8B4
XC_0218 83..91,XC_3016 138..146,9,1,#80C8B4
XC_0218 83..91,XC_3455 83..91,9,1,#80C8B4
XC_0218 83..91,XC_4067 36..44,9,1,#80C8B4
XC_0241 130..138,XC_0358 99..107,9,1,#80C8B4
XC_0241 130..138,XC_1412 85..93,9,1,#80C8B4
XC_0241 130..138,XC_1510 44..52,9,1,#80C8B4
XC_0241 130..138,XC_1960 137..145,9,1,#80C8B4
