query_name,Length,cog_myva,COG_category,COG,description,Evalue,Identities,QueryLength,LengthQuery
XC_0001,442,,,COG0593,gi|188574271|ref|YP_001911200.1| chromosomal replication initiation protein [Xanthomonas oryzae pv. oryzae PXO99A],0,0.970588235294118,442,442
XC_0002,366,,,COG0592,gi|188574272|ref|YP_001911201.1| DNA polymerase III subunit beta [Xanthomonas oryzae pv. oryzae PXO99A],0,0.956284153005464,366,366
XC_0003,365,,,COG1195,gi|188574273|ref|YP_001911202.1| recombination protein F [Xanthomonas oryzae pv. oryzae PXO99A],0,0.868131868131868,368,364
XC_0004,814,,,COG0187,gi|188574274|ref|YP_001911203.1| DNA gyrase subunit B [Xanthomonas oryzae pv. oryzae PXO99A],0,0.953316953316953,814,814
XC_0005,278,,,COG1266,gi|188574275|ref|YP_001911204.1| caax amino terminal protease [Xanthomonas oryzae pv. oryzae PXO99A],6E-136,0.76978417266187,280,278
XC_0006,268,,,COG0501,"gi|188574276|ref|YP_001911205.1| peptidase M48, Ste24p [Xanthomonas oryzae pv. oryzae PXO99A]",4E-180,0.914179104477612,268,268
XC_0007,397,,,COG0457,gi|188574277|ref|YP_001911206.1| hypothetical protein PXO_03477 [Xanthomonas oryzae pv. oryzae PXO99A],0,0.937185929648241,398,397
XC_0008,222,,,COG0810,gi|190572100|ref|YP_001969945.1| proline-rich TonB dependent receptor protein [Stenotrophomonas maltophilia K279a],2E-89,0.838565022421525,223,222
XC_0009,253,,,COG0811,gi|188574279|ref|YP_001911208.1| biopolymer transport ExbB protein [Xanthomonas oryzae pv. oryzae PXO99A],2E-178,0.984189723320158,253,253
XC_0010,129,,,COG0848,gi|188574280|ref|YP_001911209.1| biopolymer transport ExbD1 protein [Xanthomonas oryzae pv. oryzae PXO99A],6E-87,0.984496124031008,140,129
XC_0011,126,,,COG0848,gi|188574281|ref|YP_001911210.1| biopolymer transport ExbD2 protein [Xanthomonas oryzae pv. oryzae PXO99A],4E-68,0.96,136,125
