NodeType,ID,color
1,XC_0001 65..73,#80C8B4
25,XC_0002 188..196,#96677C
6,XC_0002 4..12,#87C564
25,XC_0004 185..195,#96677C
2,XC_0004 226..234,#847BC8
21,XC_0005 135..143,#42593E
16,XC_0005 172..180,#8E6299
22,XC_0005 190..200,#3A3E3E
20,XC_0005 50..58,#666637
2,XC_0007 108..116,#847BC8
23,XC_0007 17..25,#482D42
9,XC_0007 210..218,#C15A92
3,XC_0007 96..104,#8749CE
4,XC_0009 1..11,#874DBB
7,XC_0009 124..134,#93CB5D
21,XC_0009 182..190,#42593E
14,XC_0009 189..199,#7E9AA5
25,XC_0010 103..111,#96677C
7,XC_0010 25..35,#93CB5D
14,XC_0012 185..193,#7E9AA5
8,XC_0012 26..38,#A89479
24,XC_0012 44..54,#693C57
7,XC_0013 112..120,#93CB5D
8,XC_0013 162..170,#A89479
21,XC_0013 182..190,#42593E
25,XC_0014 155..163,#96677C
1,XC_0014 83..91,#80C8B4
14,XC_0015 126..134,#7E9AA5
2,XC_0015 54..62,#847BC8
2,XC_0017 155..163,#847BC8
2,XC_0017 156..164,#847BC8
16,XC_0018 119..127,#8E6299
16,XC_0018 120..128,#8E6299
23,XC_0020 195..205,#482D42
20,XC_0021 156..164,#666637
17,XC_0021 187..197,#B5545B
19,XC_0022 157..165,#9A5F2B
9,XC_0023 167..175,#C15A92
9,XC_0024 10..18,#C15A92
4,XC_0024 141..153,#874DBB
9,XC_0024 160..168,#C15A92
16,XC_0024 24..34,#8E6299
25,XC_0025 212..220,#96677C
8,XC_0026 65..73,#A89479
19,XC_0027 238..246,#9A5F2B
3,XC_0029 233..241,#8749CE
21,XC_0030 142..150,#42593E
10,XC_0030 197..205,#D45386
1,XC_0030 33..41,#80C8B4
20,XC_0030 96..104,#666637
7,XC_0031 129..139,#93CB5D
19,XC_0032 208..216,#9A5F2B
12,XC_0033 133..141,#CCA64E
19,XC_0033 157..167,#9A5F2B
1,XC_0033 180..188,#80C8B4
10,XC_0033 48..56,#D45386
4,XC_0034 129..137,#874DBB
9,XC_0034 150..160,#C15A92
23,XC_0034 176..184,#482D42
24,XC_0036 16..24,#693C57
19,XC_0037 179..191,#9A5F2B
23,XC_0037 8..16,#482D42
7,XC_0040 185..197,#93CB5D
16,XC_0040 200..208,#8E6299
2,XC_0041 161..169,#847BC8
4,XC_0041 183..191,#874DBB
19,XC_0044 166..174,#9A5F2B
9,XC_0045 68..76,#C15A92
12,XC_0046 85..93,#CCA64E
21,XC_0047 10..20,#42593E
19,XC_0050 133..143,#9A5F2B
10,XC_0050 97..105,#D45386
21,XC_0051 95..105,#42593E
21,XC_0052 126..136,#42593E
24,XC_0052 37..45,#693C57
23,XC_0053 117..125,#482D42
13,XC_0053 184..192,#A6AF6F
20,XC_0054 22..30,#666637
19,XC_0055 173..181,#9A5F2B
9,XC_0056 40..48,#C15A92
8,XC_0057 147..155,#A89479
11,XC_0058 114..124,#DA7B61
24,XC_0059 193..203,#693C57
24,XC_0059 94..102,#693C57
14,XC_0065 34..42,#7E9AA5
13,XC_0066 112..120,#A6AF6F
19,XC_0066 117..125,#9A5F2B
13,XC_0066 37..45,#A6AF6F
11,XC_0068 116..124,#DA7B61
6,XC_0068 192..200,#87C564
19,XC_0070 238..246,#9A5F2B
7,XC_0071 78..86,#93CB5D
10,XC_0072 215..223,#D45386
16,XC_0072 41..49,#8E6299
